Month,Week,Day of week,Channel Group,Description EN,Typol,Time slot,Time start,Male-Rating%,Male-Share,Female-Rating%,Female-Share,4-9-Rating%,4-9-Share,10-14-Rating%,10-14-Share,15-19-Rating%,15-19-Share,20-29-Rating%,20-29-Share,30-39-Rating%,30-39-Share,40-49-Rating%,40-49-Share,50-64-Rating%,50-64-Share,65+-Rating%,65+-Share,Mitrovica-Rating%,Mitrovica-Share,Gjilan-Rating%,Gjilan-Share,Peje-Rating%,Peje-Share,Prizren-Rating%,Prizren-Share,Prizren-Rating%,Prizren-Share,Ferizaj-Rating%,Ferizaj-Share,Pristina-Rating%,Pristina-Share
March,Week 9,Monday,T7 Group,Marketing,Reklama,02:00:00-26:00:00,20:00:00,0.94,2.27,0.88,2.39,0,0,0,0,0.04,0.14,1.84,5.49,2.52,6.67,0.2,0.41,1.11,2.09,0.06,0.11,0,0,0.89,1.99,0,0,2.09,4.72,0,0,0,0,1.5,4.19
March,Week 9,Monday,T7 Group,Marketing,Reklama,02:00:00-26:00:00,20:35:00,0.46,1.1,0.4,1.06,0,0,0,0,0,0,1.07,3.25,1.26,3.12,0,0,0.23,0.43,0.03,0.05,0.2,0.52,0,0,0,0,1.19,2.68,0,0,0,0,0.69,1.8
March,Week 9,Monday,T7 Group,Marketing,Reklama,02:00:00-26:00:00,20:35:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
March,Week 9,Monday,T7 Group,Memory,Emision,02:00:00-26:00:00,14:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
March,Week 9,Monday,T7 Group,Memory,Emision,02:00:00-26:00:00,14:00:00,0.02,0.13,0.4,2.38,0,0,0,0,0,0,0.05,0.51,1.26,9.57,0.01,0.06,0,0,0,0,0,0,0,0,0.01,0.06,0.63,5.86,0,0,0,0,0.35,2.63
March,Week 9,Monday,T7 Group,Mendimi per motin,Moti,02:00:00-26:00:00,20:10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
March,Week 9,Monday,T7 Group,Mendimi per motin,Moti,02:00:00-26:00:00,20:10:00,0.79,1.94,0.55,1.53,0,0,0,0,0,0,1.77,5.27,1.52,4.07,0.06,0.13,0.37,0.7,0.7,1.35,0.16,0.4,0.12,0.32,0,0,1.83,4.12,0,0,0,0,1.11,3.04
March,Week 9,Monday,T7 Group,N�konak,Emision,02:00:00-26:00:00,12:30:00,0.04,0.33,0.02,0.12,0,0,0.03,0.27,0.13,1.2,0.02,0.17,0,0,0.02,0.16,0.02,0.12,0.04,0.18,0,0,0.01,0.03,0,0,0,0,0,0,0,0,0.1,1.06
March,Week 9,Monday,T7 Group,N�konak,Emision,02:00:00-26:00:00,12:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
March,Week 9,Monday,T7 Group,Pressing,Debat,02:00:00-26:00:00,20:45:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
March,Week 9,Monday,T7 Group,Pressing,Debat,02:00:00-26:00:00,20:45:00,3.23,8.19,3.26,9.01,1.31,3.78,1.73,6.52,0.97,3.41,2.76,8.05,4.56,11.84,3.95,9.51,7.28,13.75,2.31,4.74,1.08,2.77,6.32,13.9,2.09,5.98,3.12,8.45,0.46,1.48,0.95,2.63,4.75,12.71
March,Week 9,Monday,T7 Group,Prizma,Emision,02:00:00-26:00:00,10:05:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
March,Week 9,Monday,T7 Group,Prizma,Emision,02:00:00-26:00:00,10:05:00,0.08,0.65,0.13,0.87,0,0,0,0,0,0,0,0,0.03,0.2,0.22,1.24,0.05,0.26,0.92,3.68,0.01,0.09,0.04,0.16,0,0,0,0,0,0,1.08,7.6,0.02,0.19
March,Week 9,Monday,T7 Group,Promo,Reklama,02:00:00-26:00:00,09:50:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
March,Week 9,Monday,T7 Group,Promo,Reklama,02:00:00-26:00:00,09:50:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
March,Week 9,Monday,T7 Group,Promo,Reklama,02:00:00-26:00:00,18:20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
March,Week 9,Monday,T7 Group,Promo,Reklama,02:00:00-26:00:00,18:20:00,1.1,3.18,0.63,1.94,0,0,0,0,3.44,11.68,1.07,3.67,0,0,2.36,5.43,0,0,0,0,0,0,0,0,6.16,26.01,1.14,2.83,0,0,0,0,0,0
March,Week 9,Monday,T7 Group,Promo,Reklama,02:00:00-26:00:00,18:45:00,0.4,1.11,0,0,0,0,0,0,0,0,1.07,3.67,0,0,0,0,0.02,0.04,0,0,0.02,0.05,0,0,0,0,1.14,2.83,0,0,0,0,0,0
March,Week 9,Monday,T7 Group,Promo,Reklama,02:00:00-26:00:00,18:45:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
