Channel Group,Date,Day of week,Metrics,Time end,Time start,Values
A TV,5/3/2021,Friday,Urbann Rating%,6:00:00,5:30:00,0
A TV,5/3/2021,Friday,1-14 Yrs Rating%,6:30:00,6:00:00,0.15
A TV,5/3/2021,Friday,15-19 Yrs Rating%,6:30:00,6:00:00,0
A TV,5/3/2021,Friday,20- 24 Yrs Rating%,6:30:00,6:00:00,0.16
A TV,5/3/2021,Friday,25-34 Yrs Rating%,6:30:00,6:00:00,0.17
A TV,5/3/2021,Friday,35-44 Yrs Rating%,6:30:00,6:00:00,0
A TV,5/3/2021,Friday,45-54 Yrs Rating%,6:30:00,6:00:00,0
A TV,5/3/2021,Friday,55-64 Yrs Rating%,6:30:00,6:00:00,0
A TV,5/3/2021,Friday,65+ Rating%,6:30:00,6:00:00,0.49
A TV,5/3/2021,Friday,All target Rating%,6:30:00,6:00:00,0.11
A TV,5/3/2021,Friday,Female Rating%,6:30:00,6:00:00,0.06
A TV,5/3/2021,Friday,Ferizaj Region Rating%,6:30:00,6:00:00,0
A TV,5/3/2021,Friday,Gjakova Region Rating%,6:30:00,6:00:00,0
A TV,5/3/2021,Friday,Gjilan Region Rating%,6:30:00,6:00:00,0
A TV,5/3/2021,Friday,Male Rating%,6:30:00,6:00:00,0.17
A TV,5/3/2021,Friday,Mitrovica Region Rating%,6:30:00,6:00:00,0
A TV,5/3/2021,Friday,Peja Region Rating%,6:30:00,6:00:00,0
A TV,5/3/2021,Friday,Prishtina Region Rating%,6:30:00,6:00:00,0
A TV,5/3/2021,Friday,Prizren Region Rating%,6:30:00,6:00:00,0.59
A TV,5/3/2021,Friday,Rurall Rating%,6:30:00,6:00:00,0
A TV,5/3/2021,Friday,Urbann Rating%,6:30:00,6:00:00,0.25
A TV,5/3/2021,Friday,1-14 Yrs Rating%,7:00:00,6:30:00,0.29
A TV,5/3/2021,Friday,15-19 Yrs Rating%,7:00:00,6:30:00,0
A TV,5/3/2021,Friday,20- 24 Yrs Rating%,7:00:00,6:30:00,0.32
A TV,5/3/2021,Friday,25-34 Yrs Rating%,7:00:00,6:30:00,0.29
A TV,5/3/2021,Friday,35-44 Yrs Rating%,7:00:00,6:30:00,0.05
A TV,5/3/2021,Friday,45-54 Yrs Rating%,7:00:00,6:30:00,0
A TV,5/3/2021,Friday,55-64 Yrs Rating%,7:00:00,6:30:00,0
A TV,5/3/2021,Friday,65+ Rating%,7:00:00,6:30:00,0.22
A TV,5/3/2021,Friday,All target Rating%,7:00:00,6:30:00,0.17
A TV,5/3/2021,Friday,Female Rating%,7:00:00,6:30:00,0.07
A TV,5/3/2021,Friday,Ferizaj Region Rating%,7:00:00,6:30:00,0
A TV,5/3/2021,Friday,Gjakova Region Rating%,7:00:00,6:30:00,0
A TV,5/3/2021,Friday,Gjilan Region Rating%,7:00:00,6:30:00,0
A TV,5/3/2021,Friday,Male Rating%,7:00:00,6:30:00,0.27
A TV,5/3/2021,Friday,Mitrovica Region Rating%,7:00:00,6:30:00,0
A TV,5/3/2021,Friday,Peja Region Rating%,7:00:00,6:30:00,0
A TV,5/3/2021,Friday,Prishtina Region Rating%,7:00:00,6:30:00,0
A TV,5/3/2021,Friday,Prizren Region Rating%,7:00:00,6:30:00,0.88
A TV,5/3/2021,Friday,Rurall Rating%,7:00:00,6:30:00,0
A TV,5/3/2021,Friday,Urbann Rating%,7:00:00,6:30:00,0.37
A TV,5/3/2021,Friday,1-14 Yrs Rating%,7:30:00,7:00:00,0.25
A TV,5/3/2021,Friday,15-19 Yrs Rating%,7:30:00,7:00:00,0
A TV,5/3/2021,Friday,20- 24 Yrs Rating%,7:30:00,7:00:00,0.42
A TV,5/3/2021,Friday,25-34 Yrs Rating%,7:30:00,7:00:00,0.29
A TV,5/3/2021,Friday,35-44 Yrs Rating%,7:30:00,7:00:00,0
A TV,5/3/2021,Friday,45-54 Yrs Rating%,7:30:00,7:00:00,0
A TV,5/3/2021,Friday,55-64 Yrs Rating%,7:30:00,7:00:00,0
A TV,5/3/2021,Friday,65+ Rating%,7:30:00,7:00:00,0
A TV,5/3/2021,Friday,All target Rating%,7:30:00,7:00:00,0.15
A TV,5/3/2021,Friday,Female Rating%,7:30:00,7:00:00,0.07
A TV,5/3/2021,Friday,Ferizaj Region Rating%,7:30:00,7:00:00,0
A TV,5/3/2021,Friday,Gjakova Region Rating%,7:30:00,7:00:00,0
